ID	title	author	date	folio	notes	work_code	work_title	osa
722	Histoire philosophique et politique des e?tablissements	"Raynal, Guillaume-Thomas-François"		27r	"Date ambiguous (1715-). Source data entitled: 'Histoire politique du commerce des deux Indes', published in Amsterdam, publisher not identified, 1720. At least two other editions identified in Amsterdam: 1733 and 1770."	spbk0002756	[Histoire philosophique et politique des établissements et du commerce des Européens dans les deux Indes]	0.94
761	Instruction d'un pere à sa fille	"Dupuy La Chapelle, N.;"		28v	"Date ambiguous (1738-1739). First published in Paris: N. Le Clerc, 1707. Several editions until 1789."	spbk0004963	Instruction d'un pere à sa fille	1
761	Instruction d'un pere à sa fille	"Dupuy La Chapelle, N.;"		28v	"Date ambiguous (1738-1739). First published in Paris: N. Le Clerc, 1707. Several editions until 1789."	spbk0004221	Instruction d'un père a son fils	0.8125
763	Instructions sur les dispositions que l'on doit apporter aux sacrements de penitence et d'eucharistie	"Treuve?, Simon Michel"	1739-00-00	28v	"Work and author not identified. First published in 1676. Thereafter several publications, notably: Paris Guillaume Desprez, 1734. OCLC Number: 433872899."	spbk0010240	Instruction sur les dispositions qu'on doit apporter aux sacremens de Pénitence et d'eucharistie	0.84
787	"Traite? de l'infini cre?e?, avec l'explication de la possibilite? de la transsubstantiation"	"Malebranche, Nicolas de; Boulainvilliers, Henri de"		29r	"Date ambiguous (1750-). Source data entitled: 'Infini (de l') cree par le P. Mallebranche'. Published in Amsterdam : M. M. Rey, 1769. OCLC Number: 490502005."	spbk00014943	"Traité de l'infini crée, avec l'explication de la possibilité de la transsubstantiation. Traité de la confession et de la communion par P. Malebranche"	0.84
791	Instructions adressées par Sa Majesté l'impératrice de toutes les Russies	"Catherine II, empress of Russia"		29r	"Date ambiguous (1750-). Source data entitled: 'Instruction donnee par Catherine II imp. de Russie'. First published in Lausanne: Franc?ois Grasset et Cie, 1749, then 1769."	spbk0001249	Instructions adressées par Sa Majesté l'impératrice de toutes les Russies	1
796	Joujou (le) des demoiselles	"Saint-Just, Simon-Pierre Mérard [de]; Jouffreau de Lagerie [abbé];"		29r	"Date ambiguous (1750-). First published in Paris in 1750 (?), then in London: Chez Jean-Nicaise Le Plat, 1753, 1757 and 1758."	spbk0001298	Joujou (le) des demoiselles	1
801	"Jean Hennuyer, évêque de Lisieux"	"Mercier, Louis-Sébastien;"		29v	"Date ambiguous (1750-). Source data entitled: 'Jean Hennuyer, évêque de Lisieux, drame'. Several editions: Londres [i.e. Paris, Edme-Jean Le Jay], 1772;  Lisieux, Le chapitre, 1773; Paris: Chez Ruault, libraire, 1775."	spbk0001291	"Jean Hennuyer, évêque de Lisieux"	1
804	Lettres nouvelles			30r	Date ambiguous (1700-1704). Source data entitled: 'Lettres nouvelles par M. de Grimarais'. Work and author not identified.	spbk0010189	Heures nouvelles	0.823529412
820	Lettres de feu m. Nicole	"Nicole, Pierre"	1718-00-00	30r	"Source data entitled: 'lettres de Nicole'.Published in Lille: Jean Baptiste Brovellio, 1718. Earlier editions identified: Liège, chez Jean-Franc?ois Bronkart, 1702 and 1706, and Paris : Chez Jean Musier, 1702."	zspbk0011047	Lettres de feu M. Nicole	0.958333333
857	Lettre a Monseigneur l'archeveque de Lyon	"Prost de Rover, Antoine-Francois; Caradeuc de la Chalotais, Louis-Rene, de"		31r	"Date ambiguous (1748-). Published in Avignon, 1763. OCLC Number: 943062847."	zspbk0013077	Lettres de Monseigneur l'archevêque de ***	0.80952381
