ID,super_book_title,author_name,super_book_code
393,Recherches philosophiques sur les Américains,"Pauw, Cornelius [de]",NA
394,Histoire de Dom B… portier des Chartreux,"Latouche, Jean-Charles Gervaise [de];",NA
395,Dictionnaire philosophique,"Voltaire, François Marie Arouet;",NA
396,Discours sur la liberté de penser,"Collins, Anthony; Scheurléer, Henri; Rousset de Missy, Jean;",NA
397,Danae,NA,NA
398,Defense du paganisme,"Boyer d'Argens, Jean Baptiste de, Julian",NA
399,Dialogue des Animaux ou le Bonheur,No Author Identifable,NA
400,Recherches sur l'origine du Despotisme oriental,"Boulanger, Nicolas-Antoine; Holbach, Paul Henri Dietrich [d'];",NA
401,dictionnaire philosophique,"Voltaire, François Marie Arouet;",NA
402,Dulcide ou le voyageur philosophe,NA,NA
403,Declaration du clerge de France du 19 mars 1682,NA,NA
404,Dialogue de morale a l'usage de la jeune noblesse,"Frederick, King of Prussia",NA
405,"Dialogue sur les arts, entre un artiste americain et un amateur franc?ais","Esteve, Pierre",NA
406,Discours sur le gouvernement,"Sidney, Algernon",NA
407,Demoniaque nouveau (le),NA,NA
408,Democrate en grec et en francois roman,NA,NA
409,Dictionnaire de la raison,NA,NA
410,Discussion interessante sur la pretention du clerge d'etre le premier ordre de l'etat,NA,NA
412,Dissertation physico-medicale sur l'usage des verges pour s'exciter au plaisir de l'amour,NA,NA
413,"Discours sur cette question: y-a-t-il entre les trois regnes animal, vegetal et mineral des limites sensibles et distinctes",NA,NA
414,Discours sur cette question: combien pour les meilleures loix il est necessaire que les esprits soient prepares a les recevoir,NA,NA
415,Disputes (les) demasquees,NA,NA
417,De la population universelle,NA,NA
418,Dieu. Reponse de M. Voltaire au systeme de la nature,"Voltaire, Francois Marie Arouet",NA
420,Dignite (de la) des cures,NA,NA
421,"Delitiae sapiente de amore conjugali, post quas sequuntur voluptates insaniae de amore scortatorio","Swedenborg, Emmanuel",NA
422,Discours sur le prejuge qui note d'infamie les parents des supplicies,"Sabatier, Andre?-Hyacinthe",NA
423,De la Fe?licite? Publique ou conside?rations sur le sort des hommes dans les diffe?rentes e?poques de l'histoire,"Chastellux,  François-Jean, marquis de",NA
424,Dictionnaire litteraire extrait des meilleurs auteurs anciens et modernes,"Reyre, Joseph, abbe",NA
425,Defenseur (le) de l'humanite contre la depopulation,NA,NA
